OBJECTID;Intercept;TPT;PP;JPM;IKK;APS;RRLS;PSAM;GR;y;yhat;residual;CV_Score;Stud_residual;Intercept_SE;TPT_SE;PP_SE;JPM_SE;IKK_SE;APS_SE;RRLS_SE;PSAM_SE;GR_SE;Intercept_TV;TPT_TV;PP_TV;JPM_TV;IKK_TV;APS_TV;RRLS_TV;PSAM_TV;GR_TV;Local_R2;LAT;LONG;Intercept_p;TPT_p;PP_p;JPM_p;IKK_p;APS_p;RRLS_p;PSAM_p;GR_p;hasil.GWPRBISQUR$SDF$Local_R2;
1;1;-0.000110934834238654;-0.0116045011900008;0.000873284637973349;-0.000902345268911492;0.00742762615126739;0.0676114020446776;229.402.194.751.171;0.00452038188330958;0.472628868790594;-117.666.666.666.666;-116.041.111.448.061;-0.0162555521860517;0;-0.259615683737462;0.0138744623058485;0.0221628938453587;8,28E+08;0.000719547927944599;0.00569719606744841;0.0531047893239535;0.198929141556897;0.00377807613149028;207.473.725.199.109;-0.00799561322040508;-0.523600449967005;105.425.093.846.718;-125.404.470.483.163;13.037.336.372.722;127.316.957.482.365;115.318.546.571.799;119.647.718.203.246;0.227801794341437;0.994876673062385;436.855;970.253;0.994;0.602;0;0.214;0.196;0.207;0;0.235;0.82;0.994876673062385
2;2;-0.000281043249694;-0.021977210877328;0.000881212402835281;-0.000861797015828313;0.00461265867598968;0.0610251849983365;229.500.125.561.596;0.00512998014482149;0.86607873522361;-109.166.666.666.667;-105.759.348.828.398;-0.0340731783826915;0;-0.52288594205365;0.0132638101817229;0.0239084674257438;8,69E+09;0.000814310731050668;0.00586894703087919;0.0486659687029046;0.192210240013652;0.00364775791592494;199.364.706.171.676;-0.0211887267567557;-0.919222904838462;101.405.000.865.717;-105.831.469.851.364;0.785943143074965;125.396.014.144.673;119.400.571.762.095;140.633.788.290.217;0.434419287071712;0.994126864482649;219.235;9.938.122;0.983;0.361;0;0.293;0.434;0.214;0;0.164;0.665;0.994126864482649
3;3;-0.000969164112446755;-0.030600902266867;0.00090794970290923;-0.000756532163083641;0.000356312637342125;0.0524703330553161;223.549.443.211.887;0.00741791532843666;168.321.674.204.601;-103.500.000.000.001;-0.983026113280047;-0.0519738867199642;0;-0.679992275112494;0.0128960080349697;0.0246332098550238;8,36E+09;0.000767923986594618;0.00608547203522047;0.0440470522845368;0.184640380777518;0.00357535056556814;19.509.750.182.731;-0.0751522571805714;-124.226.207.006.579;108.557.707.537.086;-0.985165428206645;0.0585513556351781;119.123.369.973.469;121.072.888.969.641;207.473.790.119.317;0.862756686416162;0.99368222422815;-134.225;1.000.761;0.94;0.218;0;0.328;0.953;0.237;0;0.041;0.391;0.99368222422815
4;4;-0.000811012336890217;-0.0279390828791194;0.000876769829186938;-0.000915173140910931;0.000275035119130931;0.0477003046403299;225.838.237.231.702;0.00766511681044983;184.187.303.417.818;-0.943333333333328;-0.98924970227613;0.0459163689428019;0;0.666863143543673;0.0127697247743968;0.0239379599101012;8,36E+09;0.000810572036719564;0.00598951875704915;0.0446253593515599;0.183933712149142;0.00355135310232574;1.961.049.708.925;-0.0635105572922206;-116.714.552.886.062;104.844.247.256.324;-112.904.603.101.619;0.0459194019231074;106.890.578.212.593;122.782.406.005.367;215.836.516.099.456;0.939228121447186;0.9925592456063;0.50041;10.154.758;0.95;0.247;0;0.262;0.963;0.288;0;0.034;0.35;0.9925592456063
5;5;-0.00109889033213986;-0.0267180868079736;0.000908025186476966;-0.000810335739227738;-0.0012559921006947;0.057013940802539;217.156.952.374.555;0.00844217714983086;177.186.520.333.187;-117.000.000.000.002;-122.625.747.014.524;0.0562574701452274;0;0.780774323940987;0.0121991181926285;0.0220580481022619;7,33E+09;0.000487416865660373;0.00562886902399384;0.0430661288246764;0.175168779776956;0.00335067089505449;194.036.522.611.039;-0.0900794889260017;-121.126.251.443.952;123.818.042.083.675;-16.625.106.686.242;-0.223134007087544;132.386.964.787.675;123.970.123.358.205;251.954.829.771.295;0.91316066660487;0.991792568920694;-161.157;1.027.797;0.928;0.229;0;0.1;0.824;0.189;0;0.014;0.364;0.991792568920694
6;6;-0.000316397068543361;-0.0165645451600208;0.000959528304378434;-0.000229775013116033;-0.000665390623420806;0.069234263501647;211.691.664.790.839;0.00620371821655408;0.773491348194042;-104.333.333.333.332;-102.087.060.847.369;-0.0224627248596279;0;-0.3371117806421;0.0117906904298593;0.0191112924292309;7,18E+09;0.000155456749390135;0.00534282548882149;0.0428650444984144;0.164741885687208;0.0029568312378944;183.638.888.285.553;-0.02683448186733;-0.866741232774251;133.620.065.437.115;-147.806.392.464.433;-0.124539089815486;161.516.835.714.956;128.498.993.384.581;209.809.681.967.911;0.421202369179716;0.99103379453074;-312.668;10.409.306;0.979;0.389;0;0.143;0.901;0.11;0;0.039;0.675;0.99103379453074
7;7;-0.00113213032497014;-0.0277671700034436;0.00096148980777456;-0.0004857304113701;-0.00175427630159051;0.0642992294807763;211.721.278.893.684;0.00763685682093993;163.814.942.160.543;-121.666.666.666.667;-122.612.098.711.982;0.00945432045315386;0;0.130207429626192;0.0129213182691889;0.0213844977771261;7,83E+09;0.000326931621593775;0.00579609039654035;0.0458497245504198;0.174066192404509;0.00338093912059006;211.220.817.713.835;-0.0876172462735267;-129.847.192.544.988;122.743.258.780.223;-148.572.477.939.634;-0.302665448875267;140.239.074.740.935;121.632.624.904.938;225.879.749.636.163;0.775562484482388;0.992003829436956;-351.868;10.253.598;0.93;0.198;0;0.141;0.763;0.165;0;0.027;0.44;0.992003829436956
8;8;-2,39E+09;0.00309633456412006;0.00104285397591316;-0.000134838415108042;-0.0022968255979022;0.0836790068945037;207.401.881.406.483;0.00226059218375609;-0.32177506721591;-1.23;-107.495.534.100.746;-0.155044658992547;0;-215.671.539.263.273;0.0129737096123923;0.0228795438850587;9,03E+09;0.000145093718754823;0.00611595776846452;0.0445994648382513;0.196254435515007;0.00299885220239292;194.391.223.247.819;-0.00184501277374632;0.13533200572858;115.507.608.728.843;-0.929319451353297;-0.375546346926271;187.623.343.010.913;105.680.098.827.944;0.753819138519817;-0.165529627233065;0.99088466930827;-48.555;1.050.273;0.999;0.893;0;0.356;0.708;0.064;0;0.453;0.869;0.99088466930827
9;9;0.000403494415389734;0.0180254988144771;0.000964520726563411;-0.000230844788043076;0.00160478760462241;0.0797526016904149;216.718.028.639.704;0.00227326455516111;-206.495.004.299.956;-123.666.666.666.668;-121.637.108.135.056;-0.0202955853161211;0;-0.386984040741781;0.0144716319624392;0.0234605227419835;9,84E+09;0.000140038170202244;0.00582632592685065;0.0464976321356549;0.182997622184511;0.00298986306940455;223.772.962.440.575;0.0278817493726344;0.768333212892133;980.561.025.564.703;-164.844.190.487.271;0.275437321009925;171.519.705.471.754;118.426.691.042.572;0.760323968821035;-0.922787999264174;0.990339214014127;-275.775;10.758.394;0.978;0.445;0;0.103;0.784;0.09;0;0.449;0.359;0.990339214014127
10;10;-0.000945450233087196;-0.0233407407867399;0.000866298018850356;-0.00134164541936216;-0.00241924792282493;0.0596322945111399;215.816.449.875.635;0.00921355514790514;17.376.109.316.093;-0.984999999999985;-107.795.074.631.321;0.0929507463132249;0;159.541.149.269.571;0.0134487791529339;0.0239342324436365;7,41E+09;0.000892354547424707;0.00597701551542519;0.0476346724012495;0.190461944866551;0.00410805600540402;207.678.018.299.678;-0.0703000787161368;-0.975203230005628;116.949.725.263.113;-15.034.891.941.035;-0.404758514777393;125.186.742.146.201;113.312.110.735.218;224.280.173.780.129;0.836685050173166;0.990618238784985;-0.15478;10.458.037;0.944;0.332;0;0.137;0.687;0.214;0;0.028;0.405;0.990618238784985
